"","Year_t","Mean_Temp_Warm","Mean_Temp_Cold","Max_Temp_Warm","Max_Temp_Cold","Min_Temp_Warm","Min_Temp_Cold","Tot_Precip_Warm","Tot_Precip_Cold"
"1",1901,21.62,7.17142857142857,33.1,24.3,8.6,-5.4,140,64
"2",1902,21.28,5.74285714285714,33.2,22.7,8.7,-7.7,117,51
"3",1903,20.38,6.58571428571428,34,23,6.6,-9.8,124,4
"4",1904,20.56,5.88571428571429,32.1,19.9,7.4,-5.6,162,50
"5",1905,21.08,5.94285714285714,32.6,21.8,7.1,-8.1,141,87
"6",1906,21.04,7.62857142857143,33.6,22.1,6.9,-3.5,130,95
"7",1907,20.2,6.77142857142857,33.2,21.1,4.9,-6.2,206,84
"8",1908,20.38,6.37142857142857,32.6,22.1,5.2,-6.2,147,32
"9",1909,21.22,6.72857142857143,34.1,23.9,5.1,-8.7,128,37
"10",1910,22.36,7.68571428571429,35,23.1,8.3,-5.2,127,40
"11",1911,21.28,5.17142857142857,32.6,20.7,7.2,-10.4,194,74
"12",1912,20.52,4.57142857142857,33.1,21.8,6.6,-10.3,158,33
"13",1913,20.68,6.6,33.5,22.1,7.2,-7.6,125,62
"14",1914,20.96,5.38571428571429,31.4,21,8.4,-7.8,229,99
"15",1915,20.32,7.04285714285714,32.4,23.1,5.2,-6.9,172,27
"16",1916,21.26,5.4,33.9,22.1,6.5,-8.1,142,91
"17",1917,20.58,6.97142857142857,34.1,23.9,4.5,-9.5,102,5
"18",1918,21.28,4.68571428571429,33.4,22.7,6.1,-10.1,125,98
"19",1919,20.86,6.54285714285714,32.2,21.3,7.5,-5.4,201,59
"20",1920,20.94,6.4,34,21.7,7,-7.9,140,41
"21",1921,21,6.65714285714286,31.5,24.2,7.1,-8.6,216,21
"22",1922,22.14,6.37142857142857,33.8,22.3,7.6,-5.4,73,31
"23",1923,21,5.34285714285714,33.8,20.4,7.3,-9.1,157,85
"24",1924,21.8,6.81428571428571,34.5,24.3,6.8,-10,110,25
"25",1925,21.68,5.47142857142857,33.1,21.4,9.2,-9.7,130,37
"26",1926,21.08,7.17142857142857,32.4,23,7.2,-5.9,152,70
"27",1927,21.14,6.64285714285714,33.5,23.7,6.7,-7.4,172,16
"28",1928,20.94,5.62857142857143,33.6,22.7,7.9,-7.8,160,55
"29",1929,20.94,6.17142857142857,32.9,24.6,7,-8.5,215,43
"30",1930,20.76,5.7,32.4,21.9,5.2,-8,154,40
"31",1931,21.56,6.12857142857143,33.6,23.5,7.1,-8.8,218,58
"32",1932,21.06,5.08571428571429,33.5,21.1,6.5,-8.8,198,53
"33",1933,21.38,7.97142857142857,33.5,24.1,5,-8.3,211,38
"34",1934,22.56,7.01428571428571,35.5,24.8,9.2,-5.5,109,45
"35",1935,20.54,6.82857142857143,33.3,22.9,5.7,-6.7,213,50
"36",1936,21.82,5.71428571428571,33.3,22.8,8.7,-9.9,165,20
"37",1937,21.92,7.04285714285714,33.8,22.6,8.1,-6.3,142,46
"38",1938,21.16,5.94285714285714,32.6,23,6.8,-8.1,166,28
"39",1939,21.9,6.78571428571429,33.2,22.6,7.7,-6.7,150,49
"40",1940,21.8,7.01428571428571,33.8,24,8.6,-3.8,177,48
"41",1941,20.54,6.45714285714286,31.9,21.5,8.7,-6.2,256,87
"42",1942,21.3,8.55714285714286,33.7,25.4,7.5,-4.3,129,48
"43",1943,22.52,5.75714285714286,33.7,22.5,9.4,-8.2,152,55
"44",1944,21.16,6.51428571428571,32.7,22.3,7.2,-6.4,138,68
"45",1945,21.54,6.87142857142857,33.5,25.3,7.3,-7.6,108,18
"46",1946,21.74,6.55714285714286,33.9,22.1,7.3,-7.6,130,52
"47",1947,21.86,5.71428571428571,34.4,24.3,8.6,-8.3,108,50
"48",1948,22.12,5.7,34.1,22.3,8.5,-8.8,100,28
"49",1949,21.34,7.55714285714286,32.3,24,7.6,-7.3,166,28
"50",1950,21.14,7.42857142857143,33,26.9,7.5,-7.3,176,6
"51",1951,22,6.34285714285714,35.3,23.3,7.7,-5.7,95,34
"52",1952,21.94,6.41428571428572,33.3,24.9,8.3,-7.4,153,22
"53",1953,21.14,7.08571428571429,33.7,25.4,4.9,-9.4,104,29
"54",1954,22.08,6.48571428571429,34.5,24,8.4,-8,140,26
"55",1955,21.18,7.24285714285714,31.6,24.4,7.2,-6.9,142,23
"56",1956,22.2,7.4,34.2,24.3,8.1,-7.2,90,16
"57",1957,21.06,6.02857142857143,33.5,20.3,6.7,-7.2,154,86
"58",1958,22.16,6.8,34,22.4,8.7,-7.1,148,64
"59",1959,21.5,6.22857142857143,33.3,23.2,6.9,-8,147,85
"60",1960,21.5,6.05714285714286,32.7,22.1,6.7,-7.9,136,90
"61",1961,21.02,6.15714285714286,32.6,23.7,7.4,-7.5,163,47
"62",1962,21.18,6.7,33.3,23.2,6.7,-9.8,132,68
"63",1963,21.86,5.4,34.2,24.8,8.6,-10.1,133,34
"64",1964,21.34,6.44285714285714,33.2,23.9,7.7,-5.8,130,13
"65",1965,20.56,6.32857142857143,33.1,23.8,6.7,-8.7,168,52
"66",1966,21.58,7.37142857142857,34,23.2,8.4,-9.3,162,11
"67",1967,20.76,6.52857142857143,33.3,24.3,6.2,-6.4,175,38
"68",1968,20.64,6.65714285714286,32.8,24.2,7.3,-7.7,159,46
"69",1969,21.84,6.31428571428571,33.4,21.7,8.1,-7.5,175,67
"70",1970,21.14,6.24285714285714,33.3,21.2,7,-8.1,116,26
"71",1971,20.72,6.85714285714286,33.2,23.7,6,-7.4,130,93
"72",1972,20.6,5.25714285714286,32.6,21.4,6,-7.2,203,139
"73",1973,20.36,6.91428571428572,31.9,24,6.7,-7.7,170,7
"74",1974,21.1,5.5,34,20.8,8.6,-8.1,187,96
"75",1975,20.2,6.81428571428571,32.1,23.6,5.4,-8.7,176,20
"76",1976,20.44,5.14285714285714,31.5,21.4,7.2,-8.4,163,26
"77",1977,21.52,7.64285714285714,32.5,23.6,6.9,-4.9,150,26
"78",1978,21.2,6.32857142857143,34.4,23.7,6.5,-7.2,127,96
"79",1979,20.6,6.7,33.4,25.3,7,-6.6,200,40
"80",1980,21.6,6.94285714285714,35.5,23.4,6.1,-5.8,184,23
"81",1981,21.42,7.21428571428572,33.6,21.8,7.7,-6.3,175,42
"82",1982,21.1,5.68571428571429,33.3,22.2,6.4,-5.9,153,49
"83",1983,21.18,6.41428571428571,33.3,22.1,5.4,-7.6,127,73
"84",1984,21.52,6.11428571428571,32.7,22.6,10,-6.4,155,127
"85",1985,20.88,7.61428571428571,33,22.9,7.8,-7,150,81
"86",1986,20.78,5.62857142857143,32.1,22,7.2,-8.5,238,140
"87",1987,20.46,6.4,33.2,24.4,7.2,-7.6,183,45
"88",1988,20.68,7.57142857142857,32.9,25.6,7,-7.2,257,21
"89",1989,21.42,6.51428571428571,33.1,22.6,8.2,-8.2,132,35
"90",1990,21.36,6.48571428571428,35.2,23.6,7.3,-7.5,182,51
"91",1991,20.7,6.52857142857143,31.5,24.1,6.6,-7.6,232,92
"92",1992,20.58,6.7,32.6,24.9,8.6,-6.4,197,60
"93",1993,21.38,6.64285714285714,34.2,23.4,7.3,-7.5,177,37
"94",1994,22.76,7.52857142857143,35.5,22.2,8.5,-4.9,172,104
"95",1995,21.66,8.3,34.1,25.5,7.3,-6.2,112,13
"96",1996,22.48,6.84285714285714,33.9,22.5,9.9,-5.8,176,53
"97",1997,21.44,5.87142857142857,32.1,22.1,8.9,-7,236,65
"98",1998,21.98,7.84285714285714,32.6,21.7,8.2,-4.7,164,78
"99",1999,20.68,8.28571428571429,31.6,23.5,7.7,-6,240,18
"100",2000,22.54,6.37142857142857,33.4,22.7,10.4,-5.8,115,102
"101",2001,22.52,7.7,33.6,24.4,10,-5.5,136,38
"102",2002,22.3,7.24285714285714,33.6,21.8,8.7,-4.6,167,60
"103",2003,22.38,7.65714285714286,34.5,24.5,9.7,-4.8,85,56
"104",2004,21.44,7.12857142857143,32,21.3,10,-4.8,125,74
"105",2005,22.02,8.22857142857143,33.9,24,9.2,-5,120,30
"106",2006,21.84,7,33.3,21.3,10.1,-6.6,232,85
"107",2007,21.98,7.61428571428571,32.6,24.5,8.1,-5.9,166,37
"108",2008,21.5,8.2,33.4,23,8.3,-4.8,186,46
"109",2009,22.2,6.58571428571428,33.8,21.6,10.4,-6.4,165,52
"110",2010,22.32,7.94285714285714,33.8,24.2,7.3,-7.1,142,37
"111",2011,22.78,7.84285714285714,35,24.9,7.1,-6.4,79,75
"112",2012,22.8,7.41428571428572,35,24.9,9.4,-7.6,121,15
"113",2013,22.3,7.27142857142857,34.6,22.3,7.8,-6.6,178,39
"114",2014,21.82,8.17142857142857,33.3,24.5,7.9,-4.6,213,53
"115",2015,22.14,8.07142857142857,33.3,23.3,7.3,-5.6,221,98
"116",2016,22.08,8.24285714285714,35.3,26.4,7.5,-8.6,135,59
"117",2017,21.54,7.42857142857143,34.2,25.3,8.7,-6.6,210,56
"118",2018,22.9,7.34285714285714,35.5,27.7,7.1,-6.4,199,46
"119",2019,22.5,8.68571428571429,36.7,28.3,8.6,-7.4,116,17
"120",2020,23.42,7.68571428571429,37.1,27.5,8.4,-6.6,67,51
"121",2021,22.7,8.02857142857143,38.2,25.2,9.5,-6.5,95,57
"122",2022,23.44,7.94285714285714,36.2,24.4,10.7,-7,180,59
"123",2023,23.06,8.54285714285714,36.2,25.8,10.1,-8.3,138,33
"124",2024,23.7,8.24285714285714,37.2,24.9,8.4,-7.3,160,70
"125",2025,21.5,7.77142857142857,33.8,24.9,10.2,-7.6,272,40
"126",2026,23.96,7.71428571428571,37.7,23.9,10,-6.8,145,53
"127",2027,22.74,7.85714285714286,34.3,25.3,7,-6.6,190,39
"128",2028,22.86,7.98571428571428,35.5,25.7,9.7,-4.9,226,39
"129",2029,23.28,8.24285714285714,37,25.8,8.6,-6.4,89,33
"130",2030,23.08,7.78571428571429,35.3,28.6,9.4,-6.7,114,23
"131",2031,23.08,7.85714285714286,36.5,24.4,9.9,-6,161,46
"132",2032,22.58,7.42857142857143,34.8,28.7,11,-7.5,173,36
"133",2033,23.04,8.2,37.2,26.8,4.3,-7.3,144,26
"134",2034,24.06,8.52857142857143,37.5,26.5,9.7,-5.5,116,54
"135",2035,23.6,8.31428571428571,35.4,25.9,11.1,-5,242,66
"136",2036,24.6,7.88571428571429,37.6,26.8,9.9,-7,94,31
"137",2037,23.36,7.64285714285714,35.5,28.3,8.5,-6.8,139,60
"138",2038,22.1,7.48571428571429,35.2,27.5,10,-8.2,159,49
"139",2039,23.6,7.77142857142857,37.6,24.8,8.8,-9.2,118,34
"140",2040,22.9,7.6,34.4,26.1,8.7,-7.4,204,26
"141",2041,23.7,7.42857142857143,36.8,23.7,9.7,-11.3,86,50
"142",2042,23.78,8.41428571428571,37.7,28.8,10.3,-7.6,190,43
"143",2043,22.4,8.24285714285714,35.1,25.9,8.2,-5,287,47
"144",2044,23.6,8.84285714285714,35.9,26.6,10.6,-5.7,161,38
"145",2045,23.78,8.28571428571429,36.4,25.2,7.8,-8.1,117,40
"146",2046,23.46,7.72857142857143,36.7,25.5,8.7,-8,139,46
"147",2047,24.36,8.87142857142857,37.7,26,9.9,-6.5,107,31
"148",2048,24.16,8.67142857142857,36.2,25.7,10.3,-4.4,91,56
"149",2049,24.2,8.62857142857143,37,28.7,9.2,-5.2,83,74
"150",2050,24.54,8.45714285714286,38.3,28.9,11,-7.4,101,27
"151",2051,24.28,10.1571428571429,38.3,29.4,7.5,-4.4,72,37
"152",2052,23.24,8.27142857142857,37.6,26.8,9.8,-5.7,178,93
"153",2053,24.9,8.5,39.3,27,8.3,-6.4,140,20
"154",2054,23.02,8.81428571428571,37,25.7,9.9,-6.3,186,46
"155",2055,22.88,8.58571428571429,34.5,25.7,10,-8.2,200,31
"156",2056,23.04,7.25714285714286,36.7,24.7,9.6,-6.8,168,68
"157",2057,23.26,8.84285714285714,37.8,27.1,9.7,-6.8,183,24
"158",2058,23.64,8.64285714285714,37.2,31.5,6.1,-8.2,170,30
"159",2059,23.76,9.45714285714286,35.9,27.2,10.8,-6,228,20
"160",2060,25,10.1285714285714,38.9,27.5,10.9,-6.4,86,29
"161",2061,24.8,9.45714285714286,38.6,29.1,11.6,-5.6,193,44
"162",2062,24.06,9.31428571428571,36.4,26.7,9.9,-5.7,117,58
"163",2063,24.34,8.51428571428571,37.3,28.3,8.9,-5.7,113,35
"164",2064,24.32,9.44285714285714,36.4,27.4,11,-4.6,183,28
"165",2065,24.94,9.11428571428572,40.2,28.2,8.8,-3.4,134,63
"166",2066,24.04,9.1,37.8,25.7,8.7,-5.9,132,54
"167",2067,23.2,8.51428571428571,34.8,24.2,9,-5.4,299,44
"168",2068,25.06,9.65714285714286,38.1,27.2,10,-6.8,91,32
"169",2069,25.02,8.77142857142857,39.4,26.7,12.3,-4.9,230,32
"170",2070,25.18,8.32857142857143,39.5,28.5,9.4,-6.4,154,21
"171",2071,24.9,9.34285714285714,37.6,27.6,11.1,-6.4,176,22
"172",2072,25.68,9.75714285714286,38.8,28.2,11.6,-4.5,81,60
"173",2073,24.54,8.71428571428571,38.2,24,10.2,-5,184,90
"174",2074,23.72,9.15714285714286,36.4,25.4,10.6,-4.6,132,60
"175",2075,24.74,9.51428571428571,38.3,25,8.6,-4.2,110,68
"176",2076,24.66,9.9,38.6,26.3,12,-5,84,67
"177",2077,23.94,9.64285714285714,35.6,25.7,12.4,-4.1,275,53
"178",2078,25.6,9.44285714285714,37.6,27.4,12.9,-4.1,179,106
"179",2079,25.34,10.0714285714286,39.2,27.6,9.9,-4.8,121,57
"180",2080,25.38,9.14285714285714,37.8,26.6,11.9,-5.3,119,34
"181",2081,23.36,8.68571428571429,36.5,28.7,8.6,-7.6,179,15
"182",2082,23.18,11.0714285714286,34.9,29.3,7,-2.6,235,56
"183",2083,25.12,9.54285714285714,36.7,27.2,12.5,-4.7,277,36
"184",2084,25.58,8.75714285714286,39.1,26,8.2,-4.8,132,64
"185",2085,24.3,9.01428571428571,36.2,27.8,12.7,-5,217,24
"186",2086,24.46,9.08571428571429,37.1,27.9,11.3,-8.6,151,12
"187",2087,24.26,9.65714285714286,37.5,28.3,11.3,-6.5,258,19
"188",2088,24.98,9.05714285714286,38.5,27.5,12.7,-5.1,189,49
"189",2089,24.84,8.91428571428571,36.7,26.2,10.3,-5.4,163,61
"190",2090,24.46,9.91428571428571,35.2,28.9,9.2,-6.6,217,26
"191",2091,25.56,9.68571428571429,38,29.9,10.8,-7.3,110,27
"192",2092,24.78,9.58571428571429,38.5,28.5,10.9,-6.5,228,48
"193",2093,25.24,10.1714285714286,39.9,27.5,11.4,-4.2,162,34
"194",2094,24.56,8.91428571428571,38.2,26.6,11.4,-4.9,134,54
"195",2095,24.24,9.84285714285714,38.1,28.1,10.5,-6.3,228,24
"196",2096,25.1,9.38571428571428,37.2,28.9,11.7,-6.8,78,34
"197",2097,23.52,8.85714285714286,36.7,27.1,11.3,-5.9,264,36
"198",2098,24.7,10.7428571428571,36.6,32.7,8.7,-4.8,162,25
"199",2099,26.02,9.57142857142857,39.7,30.2,12.9,-5,68,24
